cuve;date;produit;debut_compteur;sorti;entre;fin_compteur;code
AEROPORT T305;10/11/2021 23:50;JET A1;5257;1000;0;4257;1
AEROPORT T306;10/11/2021 23:50;JET A1;8994;1000;0;7994;2
AEROPORT T307;10/11/2021 23:50;JET A1;26057;1000;0;25057;3
AEROPORT T308;10/11/2021 23:50;JET A1;29330;1000;0;28330;4
ANJOUAN T03;10/11/2021 23:52;PETROLE;5289;1000;0;4289;5
ANJOUAN T05;10/11/2021 23:52;PETROLE;11049;1000;0;10049;6
ANJOUAN T06;10/11/2021 23:52;PETROLE;13514;1000;0;12514;7
ANJOUAN T07;10/11/2021 23:52;ESSENCE;487119;1000;0;486119;8
ANJOUAN T08;10/11/2021 23:52;ESSENCE;696604;1000;0;695604;9
ANJOUAN T09;10/11/2021 23:52;GASOIL;1233629;1000;0;1232629;10
ANJOUAN T10;10/11/2021 23:52;PETROLE;640664;1000;0;639664;11
ANJOUAN T11;10/11/2021 23:52;GASOIL;1072813;1000;0;1071813;12
MOHELI TANK 01;10/11/2021 22:32;ESSENCE;4329;1000;0;3329;13
MOHELI TANK 02;10/11/2021 22:32;ESSENCE;22163;1000;0;21163;14
MOHELI TANK 03;10/11/2021 22:32;ESSENCE;3917;1000;0;2917;15
MOHELI TANK 04;10/11/2021 22:32;ESSENCE;18528;1000;0;17528;16
MOHELI TANK 05;10/11/2021 22:33;Petrole ;42717;1000;0;41717;17
MOHELI TANK 06;10/11/2021 22:33;PETROLE;50054;1000;0;49054;18
MOHELI TANK 07;10/11/2021 22:33;PETROLE;2920;1000;0;1920;19
MOHELI TANK 08;10/11/2021 22:32;PETROLE;2399;1000;0;1399;20
MOHELI TANK 09;10/11/2021 22:32;PETROLE;12874;1000;0;11874;21
MOHELI TANK 10;10/11/2021 22:33;GASOIL;6576;1000;0;5576;22
MOHELI TANK 11;10/11/2021 22:33;GASOIL;6841;1000;0;5841;23
MOHELI TANK 12;10/11/2021 22:32;ESSENCE;50120;1000;0;49120;24
MOHELI TANK 13;10/11/2021 22:33;GASOIL;4305;1000;0;3305;25
MOHELI TANK 14;10/11/2021 22:33;GASOIL;4335;1000;0;3335;26
MORONI T101;10/11/2021 23:49;GASOIL;65122;1000;0;64122;27
MORONI T102;10/11/2021 23:49;GASOIL;411375;1000;0;410375;28
MORONI T103;10/11/2021 23:49;GASOIL;1215656;1000;0;1214656;29
MORONI T104;10/11/2021 23:49;ESSENCE;1045712;1000;0;1044712;30
MORONI T106;10/11/2021 23:49;JET A1;483154;1000;0;482154;31
MORONI T107;10/11/2021 23:49;JET A1;48796;1000;0;47796;32
